kaupunginosa,huoneisto,talotyyppi,neliot,velaton_hinta,neliohinta,rakennusvuosi,kerros,hissi,kunto,tontti,energialuokka,apartment_type,postcode
Kaukajärvi,3h+k+oleskeluti...,rt,"87,00",200000,2299,2002,2/2,ei,tyyd.,oma,,Kolmiot,33710
Turtola,"3h, k, s, kph/w...",rt,"69,00",285000,4130,2011,1/3,ei,hyvä,oma,D2007,Kolmiot,33710
Kaukajärvi,3h+k+p,kt,"78,00",138000,1769,1965,2/3,ei,,oma,,Kolmiot,33710
Viiala,"3h, k, s, kph, ...",kt,"81,00",149000,1840,2000,3/3,on,tyyd.,vuokra,F2013,Kolmiot,33710
Lukonmäki,"3h, k, p",kt,"77,00",122000,1584,1980,2/3,ei,,oma,D2018,Kolmiot,33710
Kaukajärvi,"3h, k, sauna, l...",kt,"78,00",218000,2795,2015,3/7,on,hyvä,oma,C2013,Kolmiot,33710
Finninmäki,"3h, k, kph, s, ...",rt,"76,50",216000,2824,1983,1/1,ei,hyvä,oma,E2013,Kolmiot,33710
Kaukajärvi,"3h, k, kph, eri...",kt,"72,00",143500,1993,1968,3/4,ei,hyvä,oma,C2018,Kolmiot,33710
Viiala,"3h,k,kph,s,vh,e...",kt,"79,00",204000,2582,1988,,ei,,oma,D2018,Kolmiot,33710
Viiala,"3h,avokeitti...",kt,"72,00",180000,2500,2000,1/2,ei,hyvä,vuokra,F2013,Kolmiot,33710
Kaukajärvi,"3h, k, kph, s, ...",kt,"80,00",202000,2525,2005,3/6,on,hyvä,oma,D2013,Kolmiot,33710
Lukonmäki,3h+k+takkah+s+k...,rt,"85,00",185000,2176,1984,2/2,ei,hyvä,oma,D2018,Kolmiot,33710
Annala,"3h,k,vh,kph,s,l...",kt,"80,00",98000,1225,1985,2/3,ei,hyvä,oma,E2018,Kolmiot,33710
Lukonmäki,3h+k+kph+s+et+v...,kt,"73,00",145000,1986,1991,2/3,ei,,oma,E2013,Kolmiot,33710
Hirvikallio,3-4 h+k+kph+s+w...,rt,"84,00",309000,3679,2015,1/1,ei,hyvä,vuokra,C2013,Kolmiot,33710
,"3-4 h, k, s, au...",ok,"100,00",235000,2350,1950,3/3,ei,tyyd.,oma,,Kolmiot,33710
Viiala,"4h,k,s,varasto,...",rt,"82,00",348000,4244,2021,1/2,ei,hyvä,oma,A2018,Neljä huonetta tai enemmän,33710
Annala,5h+k+kph+s+khh+...,rt,"102,00",267000,2618,2003,1/2,ei,,vuokra,D2018,Neljä huonetta tai enemmän,33710
Viiala,"4h, k, s, varas...",rt,"82,00",335000,4085,2021,1/2,ei,,oma,A2018,Neljä huonetta tai enemmän,33710
Viiala,4h+k+s+wc+kph+p...,kt,"93,50",200000,2139,1988,2/3,ei,tyyd.,oma,D2018,Neljä huonetta tai enemmän,33710
Hirvikallio,"4h, k, kph, khh...",rt,"114,50",300000,2620,2011,-1/2,ei,hyvä,vuokra,B2018,Neljä huonetta tai enemmän,33710
Annala,4h + k + kph/sa...,rt,"98,00",172000,1755,1979,1/2,ei,,oma,,Neljä huonetta tai enemmän,33710
Finninmäki,"4h, k, p, sauna...",rt,"100,00",156000,1560,1978,-1/2,ei,hyvä,oma,D,Neljä huonetta tai enemmän,33710
Kaukajärvi,"4h, k, s, kph, ...",kt,"91,00",239000,2626,2005,1/5,on,hyvä,oma,D2013,Neljä huonetta tai enemmän,33710
Annala,"4h, k, kph / s,...",rt,"81,00",242000,2988,2016,1/2,ei,hyvä,vuokra,C2013,Neljä huonetta tai enemmän,33710
Annala,"5h, k, khh, 2 w...",rt,"115,00",250000,2174,1995,,ei,tyyd.,vuokra,D2018,Neljä huonetta tai enemmän,33710
Annala,4h+k+s,rt,"92,50",211500,2286,1994,2/2,ei,hyvä,vuokra,D2013,Neljä huonetta tai enemmän,33710
Levonmäki,"4h, k, wc, wc/k...",rt,"92,00",235000,2554,2004,-1/2,ei,hyvä,vuokra,D2013,Neljä huonetta tai enemmän,33710
Lukonmäki,4h + k + kph/sa...,rt,"91,00",215000,2363,1978,1/2,ei,hyvä,oma,,Neljä huonetta tai enemmän,33710
Finninmäki,4h+k+kph/s+wc+2...,rt,"100,00",222700,2227,1979,1/2,ei,,oma,,Neljä huonetta tai enemmän,33710
Lukonmäki,"4 h, k, s, p, t...",rt,"96,50",240000,2487,1986,2/2,ei,hyvä,oma,D2013,Neljä huonetta tai enemmän,33710
Lukonmäki,3-4h+k+et+takka...,rt,"123,00",288000,2341,1990,1/2,ei,hyvä,oma,D2018,Neljä huonetta tai enemmän,33710
Levonmäki,"8h,k,s",rt,"138,00",335000,2428,1998,1/1,ei,hyvä,vuokra,C2018,Neljä huonetta tai enemmän,33710
Levonmäki,"4h, k, vh, eril...",rt,"89,50",224343,2507,1999,1/1,ei,hyvä,vuokra,E2013,Neljä huonetta tai enemmän,33710
Kaukajärvi,"4 h, k, kh",kt,"91,00",176000,1934,1965,1/3,ei,hyvä,oma,E2013,Neljä huonetta tai enemmän,33710
Finninmäki,4h+k,rt,"112,00",255000,2277,1981,1/2,ei,hyvä,oma,D2013,Neljä huonetta tai enemmän,33710
,"Oh, k, rh, 3mh,...",ok,"122,00",207000,1697,1981,2/2,ei,tyyd.,oma,,Neljä huonetta tai enemmän,33710
,4h+k+s+terassi+...,ok,"116,50",254000,2180,1971,1/1,ei,hyvä,oma,B2018,Neljä huonetta tai enemmän,33710
,"6h, k, takkah, ...",ok,"206,00",395000,1917,1998,,ei,hyvä,vuokra,D2018,Neljä huonetta tai enemmän,33710
,"4-5 h, k, kella...",ok,"170,00",260000,1529,1953,3/3,ei,tyyd.,oma,,Neljä huonetta tai enemmän,33710
,"4h, k, pkh, ph,...",ok,"138,00",200000,1449,1955,,ei,tyyd.,oma,D2018,Neljä huonetta tai enemmän,33710
,5h+k+rt+vhx2+kp...,ok,"166,00",435000,2620,2012,2/2,ei,hyvä,vuokra,A2007,Neljä huonetta tai enemmän,33710
Hervanta,1h+kk+p,kt,"32,00",66000,2063,1977,12/12,ei,,oma,C2018,Yksiöt,33720
Hervanta,"1h,kk,kph",kt,"34,00",85500,2515,1977,4/8,on,,oma,D2018,Yksiöt,33720
Hervanta,1h+kk,kt,"29,50",76000,2576,1977,4/8,on,tyyd.,oma,D2018,Yksiöt,33720
Hervanta,"1h, kph, las. p...",kt,"26,00",108500,4173,2019,5/8,on,,vuokra,C2013,Yksiöt,33720
Hervanta,1h+kk,kt,"32,00",84000,2625,1974,2/7,on,hyvä,oma,F2013,Yksiöt,33720
Hervantajärvi,"1h, kt, parveke",kt,"27,00",110028,4075,2023,2/5,on,,vuokra,B2018,Yksiöt,33720
Hervanta,"1h,kk,p",kt,"35,00",65000,1857,1979,5/5,on,,oma,D2018,Yksiöt,33720
Hervanta,"1h,+k",kt,"31,50",59000,1873,1976,3/7,on,huono,oma,D2018,Yksiöt,33720
Hervanta,1h+alkovi+kk+kp...,kt,"31,50",55000,1746,1974,1/8,on,huono,oma,E2018,Yksiöt,33720
Hervanta,"1h, kt, kph, al...",kt,"31,00",130877,4222,2022,3/5,on,hyvä,vuokra,B2018,Yksiöt,33720
Hervanta,"1h, kt, kph, al...",kt,"31,00",136533,4404,2022,4/5,on,hyvä,vuokra,B2018,Yksiöt,33720
Hervanta,"1h, kk",kt,"34,00",58000,1706,1977,2/5,on,,oma,F2013,Yksiöt,33720
Hervantajärvi,Tolppa,kt,"14,00",5040,360,2024,1/1,on,hyvä,vuokra,A2018,Yksiöt,33720
Hervantajärvi,"1h, kt, alkovi,...",kt,"29,00",131900,4548,2024,3/4,on,hyvä,vuokra,A2018,Yksiöt,33720
Hervanta,"1h, kk, kph, vh",kt,"29,00",85000,2931,1976,3/8,on,hyvä,oma,C2018,Yksiöt,33720
Hervantajärvi,"1h, kt, p",kt,"21,00",117000,5571,2023,3/5,on,hyvä,vuokra,B2018,Yksiöt,33720
Hervantajärvi,"1h, kt, kph, vh...",kt,"30,00",130000,4333,2024,3/4,on,hyvä,vuokra,A2018,Yksiöt,33720
Hervantajärvi,katos,kt,"12,50",8500,680,2024,1/1,on,hyvä,vuokra,A2018,Yksiöt,33720
Hervanta,"tk, alk, kph/wc...",kt,"36,00",110000,3056,2004,5/5,on,hyvä,vuokra,F2013,Yksiöt,33720
Hervantajärvi,"1h, kt, p",kt,"27,00",127520,4723,2023,4/5,on,hyvä,vuokra,B2018,Yksiöt,33720
Hervantajärvi,"1h, kt, parveke",kt,"27,00",139800,5178,2023,5/5,on,hyvä,vuokra,B2018,Yksiöt,33720
Hervantajärvi,"1h, k, las.parv.",kt,"27,00",127500,4722,2023,4/7,on,hyvä,vuokra,B2018,Yksiöt,33720
Hervanta,"1h, kt, kph, ra...",kt,"29,00",131638,4539,2022,5/5,on,hyvä,vuokra,B2018,Yksiöt,33720
Hervantajärvi,"1h, kt, parveke",kt,"27,00",130700,4841,2023,5/5,on,hyvä,vuokra,B2018,Yksiöt,33720
Hervantajärvi,"1h, kt, parveke",kt,"27,00",122500,4537,2023,4/5,on,hyvä,vuokra,B2018,Yksiöt,33720
Hervanta,1h+kk+kph+lasit...,kt,"30,00",83000,2767,1980,2/6,on,hyvä,oma,E2013,Yksiöt,33720
Hervanta,1h+k+kph+parv.,kt,"27,00",95000,3519,2004,4/4,on,hyvä,vuokra,F2013,Yksiöt,33720
Hervanta,2h+k+kph+s+lasi...,kt,"58,00",158000,2724,2013,2/6,on,,vuokra,C2013,Kaksiot,33720
Hervanta,2h+k+kph+vh+las...,kt,"58,00",95500,1647,1974,6/7,on,hyvä,oma,F2013,Kaksiot,33720
Hervanta,"2h, k, khh, kph...",kt,"66,00",95000,1439,1980,4/6,on,tyyd.,oma,,Kaksiot,33720
Hervanta,"2 h, k, s, kph,...",rt,"53,00",115000,2170,1976,1/1,ei,tyyd.,oma,D2018,Kaksiot,33720
Hervanta,2h+k+kph/s+wc+v...,kt,"54,00",99000,1833,1988,2/8,on,,oma,B2018,Kaksiot,33720
Hervanta,"2h, k, kph/s/wc...",kt,"58,50",97000,1658,1987,6/8,on,hyvä,oma,F2013,Kaksiot,33720
Hervantajärvi,"2h, kt, s, parveke",kt,"43,00",145852,3392,2023,2/5,on,,vuokra,B2018,Kaksiot,33720
Hervantajärvi,2h+kt+kph+iso l...,kt,"32,00",130000,4063,2023,1/6,on,hyvä,vuokra,B2018,Kaksiot,33720
Hervantajärvi,"2-3h, kt, kph, ...",kt,"44,50",187000,4202,2024,3/4,on,hyvä,vuokra,A2018,Kaksiot,33720
Hervanta,2h+k+kph/wc+s+p...,kt,"50,00",130000,2600,2002,2/5,on,,vuokra,D2013,Kaksiot,33720
Hervanta,2h+k+kh+vh+las....,kt,"54,00",68000,1259,1975,6/7,on,tyyd.,oma,C2018,Kaksiot,33720
Hervanta,"2h, kk, kph/wc,...",kt,"48,00",70000,1458,1978,5/6,on,tyyd.,oma,D2018,Kaksiot,33720
Hervanta,"2h, kk, kph, s, p",kt,"36,00",85000,2361,1989,2/6,on,tyyd.,oma,E2013,Kaksiot,33720
Hervantajärvi,"2h, kt, kph, te...",kt,"49,00",177000,3612,2023,1/4,on,hyvä,vuokra,B2018,Kaksiot,33720
Hervanta,"2h, k, kph/wc, ...",kt,"60,50",125000,2066,1980,1/5,on,hyvä,oma,E2013,Kaksiot,33720
Hervanta,"2h, k, kph, vh,...",kt,"62,00",119000,1919,1974,3/5,on,hyvä,oma,D2018,Kaksiot,33720
Hervanta,"2h, kk, kph, vh",kt,"48,00",73000,1521,1976,3/5,on,hyvä,oma,C2018,Kaksiot,33720
Hervantajärvi,"2h, kt, s, p",kt,"42,00",157200,3743,2023,3/5,on,hyvä,vuokra,B2018,Kaksiot,33720
Hervanta,"2h,k,kph,vh,las...",kt,"54,00",95000,1759,1975,2/7,on,,oma,C2018,Kaksiot,33720
Hervanta,2h+k+kph+vh+las.p,kt,"54,00",133000,2463,1978,4/7,on,hyvä,oma,F2013,Kaksiot,33720
Hervanta,"2h, avok, kph/w...",kt,"45,50",132000,2901,2004,4/4,on,hyvä,vuokra,F2013,Kaksiot,33720
Hervanta,"2h, kk, kph, vh",kt,"47,00",102000,2170,1976,1/8,on,hyvä,oma,F2013,Kaksiot,33720
Hervanta,"2h, k, s, p",kt,"62,00",110000,1774,1985,1/6,on,tyyd.,oma,B2018,Kaksiot,33720
Hervanta,2h+k,kt,"62,00",112000,1806,1974,5/7,on,hyvä,oma,D2013,Kaksiot,33720
Hervanta,"2 h,kt,s, iso t...",kt,"55,50",194000,3495,2015,5/5,on,hyvä,vuokra,C2013,Kaksiot,33720
Hervanta,"2h, avokeitti&#...",kt,"56,00",127000,2268,1983,6/7,on,hyvä,oma,B2018,Kaksiot,33720
Hervanta,"2h, k, kph, s, vh",kt,"58,50",99000,1692,1987,1/8,on,hyvä,oma,F2013,Kaksiot,33720
Hervantajärvi,"2h, kt, kph, vh...",kt,"41,00",177900,4339,2024,3/4,on,hyvä,vuokra,A2018,Kaksiot,33720
Hervanta,"2h, kk, kph/wc,...",kt,"52,50",60000,1143,1981,1/5,on,tyyd.,oma,F2013,Kaksiot,33720
Hervanta,"2h, k, kph/saun...",kt,"63,00",128000,2032,1990,6/8,on,tyyd.,oma,E2013,Kaksiot,33720
Hervantajärvi,"2h, kt, parveke",kt,"39,00",155560,3989,2023,2/5,on,hyvä,vuokra,B2018,Kaksiot,33720
Hervanta,2h+k+kph/wc+et+...,kt,"58,00",107000,1845,1974,3/6,on,tyyd.,oma,D2018,Kaksiot,33720
Hervanta,2h+kk,kt,"42,50",140000,3294,2017,5/5,on,hyvä,vuokra,C2013,Kaksiot,33720
Hervanta,"2h,k,s",kt,"52,00",130000,2500,2006,2/4,on,,vuokra,F2013,Kaksiot,33720
Hervantajärvi,"2h, kt, kph, vh...",kt,"41,00",183900,4485,2024,4/4,on,hyvä,vuokra,A2018,Kaksiot,33720
Hervantajärvi,2h+kt+kph+s+et+...,kt,"40,00",177400,4435,2023,4/5,on,hyvä,vuokra,B2018,Kaksiot,33720
Hervanta,2h+k,kt,"62,00",89000,1435,1976,2/5,on,hyvä,oma,F2013,Kaksiot,33720
Hervanta,"2h,k,s,p",kt,"65,00",92000,1415,1984,1/5,on,,oma,F2013,Kaksiot,33720
Hervanta,2h+k+p,kt,"57,00",48000,842,1972,2/7,on,tyyd.,oma,E2013,Kaksiot,33720
Hervanta,2h+kk+kph+vh+la...,kt,"48,00",77000,1604,1978,6/6,on,tyyd.,oma,D2018,Kaksiot,33720
Hervanta,2h+kt+kph+lasit...,kt,"42,50",148000,3482,2019,4/8,on,hyvä,vuokra,C2013,Kaksiot,33720
Hervantajärvi,"2h, kt, kph, s, p",kt,"44,00",187500,4261,2023,3/4,on,hyvä,vuokra,B2018,Kaksiot,33720
Hervanta,"2h,k",kt,"54,00",66000,1222,1975,2/7,on,,oma,C2018,Kaksiot,33720
Hervanta,2h+k+kph/wc+las.p,kt,"54,00",112500,2083,1978,2/7,on,hyvä,oma,F2018,Kaksiot,33720
Hervanta,Senioritalo! 1 ...,kt,"54,00",124000,2296,2007,1/5,on,hyvä,vuokra,F2013,Kaksiot,33720
Hervanta,"2h,k,vh,kph,s,l...",kt,"59,00",152000,2576,2006,4/8,on,hyvä,vuokra,D2013,Kaksiot,33720
Hervanta,"2h,k,s",kt,"61,00",132000,2164,1988,4/6,on,,oma,B2013,Kaksiot,33720
Hervanta,2h+k,kt,"59,00",122000,2068,1983,5/5,on,hyvä,oma,D2018,Kaksiot,33720
Hervanta,3h+k+p,kt,"67,00",79500,1187,1977,12/12,ei,,oma,C2018,Kolmiot,33720
Hervanta,3h+k+kh+vh+las....,kt,"74,50",132000,1772,1975,8/8,on,hyvä,oma,F2013,Kolmiot,33720
Hervanta,"3h, k",kt,"77,50",121000,1561,1982,8/8,on,hyvä,oma,D2018,Kolmiot,33720
Hervanta,3h+k+kph+s+vh+l...,kt,"73,00",181000,2479,2002,2/6,on,hyvä,vuokra,D2018,Kolmiot,33720
Hervanta,"3h, k, kph, vh,...",kt,"76,00",95000,1250,1979,6/6,on,,oma,D2018,Kolmiot,33720
Hervanta,"3h,k,s,kph,eril...",kt,"80,00",163050,2038,1987,2/3,ei,hyvä,oma,C2007,Kolmiot,33720
Hervanta,"3h, k, kph, et,...",kt,"70,00",138000,1971,1978,6/7,on,hyvä,oma,C2018,Kolmiot,33720
Hervanta,"3h, k, kph, vh,...",kt,"74,50",130000,1745,1976,3/8,on,hyvä,oma,C2018,Kolmiot,33720
Hervanta,"3h, kph / s, er...",kt,"75,00",106250,1417,1989,3/6,on,tyyd.,oma,F2013,Kolmiot,33720
Hervanta,"3h, k, sauna/kp...",kt,"79,00",125000,1582,1983,2/7,on,hyvä,oma,B2018,Kolmiot,33720
Hervanta,3h+k,kt,"70,50",83000,1177,1979,1/5,on,hyvä,oma,D2018,Kolmiot,33720
Hervanta,3h+k+kph+p,kt,"71,50",75000,1049,1977,5/5,on,tyyd.,oma,F2013,Kolmiot,33720
Hervanta,"3h, k, kph/s, e...",rt,"80,00",199000,2488,1983,1/1,ei,,oma,,Kolmiot,33720
Hervanta,"3h, k, kph, ph,...",rt,"81,50",143000,1755,1981,1/1,ei,tyyd.,oma,D2018,Kolmiot,33720
Hervantajärvi,3h + kt,kt,"62,00",218000,3516,2021,4/5,on,hyvä,vuokra,B2018,Kolmiot,33720
Hervanta,"3h, k, sauna, v...",kt,"74,00",125000,1689,1979,4/5,on,hyvä,oma,D2018,Kolmiot,33720
Hervanta,3h+k+kh+p,kt,"72,00",83000,1153,1982,1/6,on,tyyd.,oma,D2018,Kolmiot,33720
Hervanta,3h+k+s,kt,"74,50",140000,1879,1985,3/6,on,hyvä,oma,B2018,Kolmiot,33720
Hervanta,"3h,k,s,vh,p",kt,"75,00",205000,2733,2006,7/8,on,,vuokra,D2013,Kolmiot,33720
Hervanta,3h + k,kt,"75,50",92500,1225,1979,1/6,on,hyvä,oma,G2013,Kolmiot,33720
Hervantajärvi,"3h, k, kph, s, ...",rt,"71,00",262000,3690,2022,-1/2,ei,hyvä,vuokra,B2018,Kolmiot,33720
Hervanta,"3h,k,et,khp/wc,...",kt,"74,50",94500,1268,1975,4/6,on,hyvä,oma,D2018,Kolmiot,33720
Hervanta,"3h, k, s, kph, ...",kt,"72,00",131000,1819,1987,7/8,on,hyvä,oma,F2013,Kolmiot,33720
Hervanta,3h+k+kph+vh,kt,"74,00",87000,1176,1979,2/5,on,,oma,D2018,Kolmiot,33720
Hervanta,"3h,k,kph,vh+las...",kt,"77,50",95000,1226,1981,5/5,on,hyvä,oma,F2013,Kolmiot,33720
Hervanta,3h+k+s,kt,"78,00",95000,1218,1986,4/5,on,,oma,,Kolmiot,33720
Lintuhytti,3 huonetta + ke...,kt,"69,00",227000,3290,2020,1/2,ei,hyvä,vuokra,B2018,Kolmiot,33720
Hervanta,"3h, k, kph/wc, ...",kt,"74,50",105000,1409,1979,8/8,on,hyvä,oma,F2013,Kolmiot,33720
Hervanta,"3h, k, rt, wc, ...",rt,"74,50",181000,2430,1989,1/1,ei,hyvä,vuokra,E2013,Kolmiot,33720
Hervanta,"3h, k, kph, s, ...",rt,"81,50",196000,2405,1989,1/1,ei,hyvä,vuokra,C2018,Kolmiot,33720
Hervanta,3h+k+kph/wc+vh+...,kt,"71,00",80000,1127,1978,1/8,on,,oma,F2013,Kolmiot,33720
Lintuhytti,"3h, k, 2 kph, s...",rt,"78,00",242000,3103,2019,-1/2,ei,hyvä,vuokra,B2018,Kolmiot,33720
Hervanta,"3h,k,kph,vh,las...",kt,"73,00",105000,1438,1977,2/8,on,,oma,C2018,Kolmiot,33720
Hervanta,"3 h, kt, s, p",kt,"64,50",190000,2946,2013,5/6,on,hyvä,vuokra,C2013,Kolmiot,33720
Hervanta,3h+k+kph+s+eril...,kt,"78,50",149000,1898,1990,3/5,on,tyyd.,oma,E2013,Kolmiot,33720
Lintuhytti,"3h, kt, rt, s, ...",rt,"71,00",257000,3620,2017,1/1,ei,hyvä,vuokra,C2013,Kolmiot,33720
Hervanta,"3h, k, kph, s, ...",kt,"74,50",153000,2054,1985,4/6,on,hyvä,oma,B2018,Kolmiot,33720
Hervanta,3h+k+kph+vaateh...,kt,"75,50",170557,2259,1979,8/8,on,hyvä,oma,D2018,Kolmiot,33720
Hervanta,"3 h, kt, s, p",kt,"63,00",190000,3016,2015,3/5,on,hyvä,vuokra,C2013,Kolmiot,33720
Hervanta,4h+k+kph+s+khh+...,rt,"103,00",208000,2019,1984,1/1,ei,,oma,,Neljä huonetta tai enemmän,33720
Hervanta,"4h, k, kph, s, ...",rt,"90,00",155000,1722,1976,1/1,ei,tyyd.,oma,D2013,Neljä huonetta tai enemmän,33720
Hervanta,"4h,k,s",rt,"97,50",263000,2697,2006,2/2,ei,hyvä,vuokra,C2018,Neljä huonetta tai enemmän,33720
Hervanta,"5h, k, kk, 2 x ...",kt,"130,50",150000,1149,1979,2/5,on,tyyd.,oma,D2018,Neljä huonetta tai enemmän,33720
Hervanta,4h + k + s + kp...,kt,"93,00",160000,1720,1986,4/5,on,hyvä,oma,D2018,Neljä huonetta tai enemmän,33720
Lintuhytti,"5h, k, kph/saun...",rt,"111,00",335000,3018,2020,2/2,ei,hyvä,vuokra,B2018,Neljä huonetta tai enemmän,33720
Hervanta,"4h, k, kph/wc, ...",kt,"90,00",165000,1833,1976,5/8,on,hyvä,oma,E2018,Neljä huonetta tai enemmän,33720
Hervanta,"4h, k, kph, s, ...",kt,"92,00",151000,1641,1990,3/5,on,hyvä,oma,E2013,Neljä huonetta tai enemmän,33720
Lintuhytti,"4h, k, kph / s,...",rt,"95,00",311000,3274,2019,1/2,ei,hyvä,vuokra,B2018,Neljä huonetta tai enemmän,33720
Hervanta,"4h, k",kt,"90,00",124000,1378,1976,1/8,on,hyvä,oma,E2018,Neljä huonetta tai enemmän,33720
Hervanta,"4h,k, kph / s, ...",kt,"92,00",153000,1663,1984,3/5,on,hyvä,oma,D2018,Neljä huonetta tai enemmän,33720
Hervanta,4h+k+kph/s+wc+l...,kt,"90,00",140000,1556,1989,5/6,on,,oma,E2013,Neljä huonetta tai enemmän,33720
Hervanta,"4h,k",kt,"94,00",133000,1415,1974,6/7,on,,oma,C2018,Neljä huonetta tai enemmän,33720
Hervanta,"4h, k, p, kph, ...",kt,"93,50",107000,1144,1978,6/6,on,hyvä,oma,D2018,Neljä huonetta tai enemmän,33720
Hervantajärvi,"5h, kt, kph, s, p",kt,"103,00",364000,3534,2023,3/4,on,hyvä,vuokra,B2018,Neljä huonetta tai enemmän,33720
Hervantajärvi,"4h, k, kph, s, ...",rt,"97,00",373000,3845,2024,-1/2,on,hyvä,vuokra,A2018,Neljä huonetta tai enemmän,33720
Hervantajärvi,"4h, k, kph, s, ...",rt,"97,00",372600,3841,2024,-1/2,on,hyvä,vuokra,A2018,Neljä huonetta tai enemmän,33720
,"4h, k, ruok., a...",ok,"150,00",110000,733,1977,1/1,ei,tyyd.,vuokra,,Neljä huonetta tai enemmän,33720
,"5 mh, oh, rt, k...",ok,"162,00",429000,2648,2016,1/1,ei,hyvä,vuokra,B2013,Neljä huonetta tai enemmän,33720
Vehmainen,3h+k+wc+et+s+kp...,rt,"92,00",320000,3478,2017,1/2,ei,hyvä,oma,C2013,Kolmiot,33730
Vehmainen,"3h, k, kph, eri...",rt,"75,00",217000,2893,2003,1/1,ei,hyvä,vuokra,E2018,Kolmiot,33730
Vehmainen,"3h,k,wc,ph,s,2x...",rt,"75,00",191000,2547,2003,1/1,ei,tyyd.,vuokra,E2018,Kolmiot,33730
Vehmainen,"4 h, k, s, p, a...",rt,"94,00",190000,2021,1980,2/2,ei,hyvä,oma,D2013,Neljä huonetta tai enemmän,33730
Vehmainen,"Oh, k, 3-4mh, p...",ok,"140,00",230000,1643,1930,-1/3,ei,hyvä,oma,B2018,Neljä huonetta tai enemmän,33730
Vehmainen,4h+k+kh+s+vh+la...,rt,"95,00",175000,1842,1979,1/2,ei,hyvä,oma,D2013,Neljä huonetta tai enemmän,33730
Vehmainen,5h+k+työh+...,ok,"134,00",557500,4160,2017,,ei,hyvä,oma,B2013,Neljä huonetta tai enemmän,33730
Vehmainen,"Oh, k, rt, 5x m...",ok,"183,00",701000,3831,2008,1/2,ei,hyvä,oma,C2018,Neljä huonetta tai enemmän,33730
Vehmainen,4h+k+ saunaos.,rt,"122,00",300000,2459,1985,1/2,ei,,oma,E2013,Neljä huonetta tai enemmän,33730
Vuores,1h+kt+kph+ransk.p.,kt,"27,50",100000,3636,2017,6/6,on,hyvä,vuokra,C2013,Yksiöt,33870
Vuores,"1h, alk, las.pa...",kt,"28,00",93000,3321,2016,4/5,on,hyvä,vuokra,C2013,Yksiöt,33870
Vuores,"1h, alk, kt, la...",kt,"32,50",116000,3569,2018,1/6,on,hyvä,vuokra,C2013,Yksiöt,33870
Vuores,1h+kt+ransk.parv.,kt,"22,50",85000,3778,2023,4/4,on,hyvä,vuokra,,Yksiöt,33870
Vuores,1h+kk+kph+lasit...,kt,"23,00",86000,3739,2016,4/5,ei,,vuokra,C2013,Yksiöt,33870
Vuores,1h+kt+kph+ransk.p.,kt,"27,00",92000,3407,2020,3/4,on,hyvä,vuokra,B2018,Yksiöt,33870
Vuores,2h+kk+s,kt,"46,00",151900,3302,2013,4/5,on,hyvä,vuokra,C2018,Kaksiot,33870
Vuores,2h+kt+s+ap1,rt,"52,50",185000,3524,2015,1/1,ei,hyvä,vuokra,C2013,Kaksiot,33870
Vuores,2h+kt+kph+huone...,kt,"37,00",128000,3459,2017,3/6,on,,vuokra,C2013,Kaksiot,33870
Vuores,2h+k+kph/s+vh+l...,kt,"49,00",194000,3959,2022,5/5,on,,vuokra,B2018,Kaksiot,33870
Vuores,2h+kt,kt,"46,00",142000,3087,2014,2/5,on,hyvä,vuokra,C2013,Kaksiot,33870
Vuores,2h+kt+s+p,kt,"39,50",140000,3544,2020,3/8,on,hyvä,vuokra,B2018,Kaksiot,33870
Vuores,2h+k+s/kph/wc+a...,rt,"56,50",204000,3611,2016,1/1,ei,hyvä,vuokra,C2013,Kaksiot,33870
Mäyränmäki,"2h, kt, kph, s,...",kt,"50,50",149500,2960,2014,1/2,ei,hyvä,vuokra,A2013,Kaksiot,33870
Vuores,2h+kt+ransk.parv.,kt,"46,00",135000,2935,2023,2/4,on,hyvä,vuokra,,Kaksiot,33870
Vuores,2h+avok+wc/kph+...,kt,"54,00",163000,3019,2016,2/5,on,hyvä,vuokra,C2013,Kaksiot,33870
Vuores,"2h, kt, kph, s,...",rt,"49,00",180000,3673,2022,1/1,ei,hyvä,vuokra,B2018,Kaksiot,33870
Vuores,2h+kt+s+kph+vh+...,kt,"52,50",162000,3086,2013,2/5,on,hyvä,vuokra,B2018,Kaksiot,33870
Vuores,2h+kt+s+lasitet...,kt,"43,00",160000,3721,2017,2/2,ei,,vuokra,C2013,Kaksiot,33870
Vuores,2h+kk+s,kt,"46,50",158000,3398,2013,5/5,on,hyvä,vuokra,C2018,Kaksiot,33870
Vuores,"2h, k, kph, vh",kt,"33,50",114000,3403,2017,3/6,on,hyvä,vuokra,C2013,Kaksiot,33870
Vuores,3h+k+s,kt,"52,00",182800,3515,2018,2/2,ei,hyvä,vuokra,D2013,Kolmiot,33870
Vuores,3h+k+kph/s+wc+v...,rt,"73,00",259000,3548,2013,1/1,ei,,vuokra,,Kolmiot,33870
Vuores,3h+k+kph/s+wc+v...,rt,"73,00",259000,3548,2013,1/1,ei,,vuokra,,Kolmiot,33870
Vuores,3h+k+et+wc+kph+...,kt,"76,00",212000,2789,2013,2/5,on,hyvä,vuokra,C2018,Kolmiot,33870
Vuores,3h+k+s+p,kt,"80,00",247000,3088,2017,2/2,ei,hyvä,vuokra,C2013,Kolmiot,33870
