kaupunginosa,huoneisto,talotyyppi,neliot,velaton_hinta,neliohinta,rakennusvuosi,kerros,hissi,kunto,tontti,energialuokka,apartment_type,postcode
Punavuori,1 h+avokeitti&#...,kt,"24,00",185000,7708,1951,3/6,on,tyyd.,oma,F2013,Yksiöt,00150
Punavuori,"1h, avok, kph",kt,"24,00",199000,8292,1951,2/6,on,hyvä,oma,F2013,Yksiöt,00150
Hernesaari,"1-3h, k, kph, w...",kt,"60,00",475000,7917,1912,3/5,ei,hyvä,oma,,Yksiöt,00150
Eira,"1h, avok, kph, ...",kt,"29,00",215000,7414,1931,3/6,on,hyvä,oma,,Yksiöt,00150
Punavuori,"1h, k, kph, alkovi",kt,"44,00",252000,5727,1935,2/4,on,tyyd.,oma,F2013,Yksiöt,00150
Punavuori,1h+kk,kt,"34,00",235000,6912,1938,4/4,on,tyyd.,oma,E2018,Yksiöt,00150
Punavuori,1h+k+kph,kt,"45,00",296300,6584,1923,5/5,ei,tyyd.,oma,D2018,Yksiöt,00150
Punavuori,"1h, k, kph",kt,"36,00",266000,7389,1972,3/6,on,hyvä,oma,G2013,Yksiöt,00150
Punavuori,"1h, kk, kph, vh",kt,"27,50",221278,8046,1961,7/7,on,hyvä,oma,F2013,Yksiöt,00150
Hernesaari,"1h, k, kph",kt,"38,00",310000,8158,1912,4/5,ei,tyyd.,oma,,Yksiöt,00150
Punavuori,1h+avok+kph+et ...,kt,"19,00",160000,8421,1938,4/4,ei,hyvä,oma,E2018,Yksiöt,00150
Munkkisaari,"2h, avokeitti&#...",kt,"56,00",500000,8929,2012,6/7,on,hyvä,,E2013,Kaksiot,00150
Punavuori,"2h, avokeitti&#...",kt,"53,00",423000,7981,1930,3/4,on,hyvä,oma,E2018,Kaksiot,00150
Ullanlinna,"2h, k, kph, wc",kt,"76,00",620000,8158,1931,7/8,on,hyvä,oma,D2018,Kaksiot,00150
Ullanlinna,"2h, k, kph, wc",kt,"76,00",620000,8158,1931,7/8,on,hyvä,oma,D2018,Kaksiot,00150
Punavuori,"2h, avok, vh, kph",kt,"53,00",419000,7906,1907,4/4,ei,tyyd.,oma,F2013,Kaksiot,00150
Ullanlinna,"2h, avok, kph, ...",kt,"52,00",490000,9423,1907,1/5,on,hyvä,oma,,Kaksiot,00150
Punavuori,"2h, avok, kph, ...",kt,"57,50",450000,7826,2012,6/7,on,hyvä,,E2013,Kaksiot,00150
